section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-8-before_E1_RE_SEC-10_local,1,1.0,2.0,65.9,50.2,58.5
FLT8-8-before_E1_RE_SEC-10_local,2,2.0,2.0,49.5,36.5,36.7
FLT8-8-before_E1_RE_SEC-10_local,3,3.0,2.0,44.8,36.3,36.3
FLT8-8-before_E1_RE_SEC-10_local,4,4.0,2.0,42.5,36.2,36.2
FLT8-8-before_E1_RE_SEC-10_local,5,5.0,2.0,41.3,35.9,35.9
FLT8-8-before_E1_RE_SEC-10_local,6,6.0,2.0,40.2,36.1,36.3
FLT8-8-before_E1_RE_SEC-10_local,7,7.0,2.0,39.7,36.3,36.2
FLT8-8-before_E1_RE_SEC-10_local,8,8.0,2.0,39.2,35.7,35.8
FLT8-8-before_E1_RE_SEC-10_local,9,9.0,2.0,38.8,35.9,35.8
FLT8-8-before_E1_RE_SEC-10_local,10,10.0,2.0,38.5,35.5,35.8
FLT8-8-before_E1_RE_SEC-10_local,11,11.0,2.0,38.2,35.1,35.5
