section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-3-before_E1_RE_SEC-02_local,1,1.0,2.0,142.8,84.3,81.7
FLT8-3-before_E1_RE_SEC-02_local,2,2.0,2.0,83.3,45.0,44.3
FLT8-3-before_E1_RE_SEC-02_local,3,3.0,2.0,64.8,44.6,45.0
FLT8-3-before_E1_RE_SEC-02_local,4,4.0,2.0,58.3,44.1,44.3
FLT8-3-before_E1_RE_SEC-02_local,5,5.0,2.0,54.9,45.3,45.1
FLT8-3-before_E1_RE_SEC-02_local,6,6.0,2.0,53.1,46.2,46.1
FLT8-3-before_E1_RE_SEC-02_local,7,7.0,2.0,51.9,44.5,45.1
FLT8-3-before_E1_RE_SEC-02_local,8,8.0,2.0,50.7,45.0,43.9
FLT8-3-before_E1_RE_SEC-02_local,9,9.0,2.0,50.2,45.4,45.7
FLT8-3-before_E1_RE_SEC-02_local,10,10.0,2.0,49.5,45.1,45.0
FLT8-3-before_E1_RE_SEC-02_local,11,11.0,2.0,49.2,46.0,45.6
