section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT1-3-250strokes_E1_RE_SEC-07_local,1,1.0,2.0,49.8,43.6,53.0
LYDIT1-3-250strokes_E1_RE_SEC-07_local,2,2.0,2.0,42.4,36.4,37.8
LYDIT1-3-250strokes_E1_RE_SEC-07_local,3,3.0,2.0,40.7,36.7,36.2
LYDIT1-3-250strokes_E1_RE_SEC-07_local,4,4.0,2.0,39.5,35.4,34.6
LYDIT1-3-250strokes_E1_RE_SEC-07_local,5,5.0,2.0,38.5,35.9,36.4
LYDIT1-3-250strokes_E1_RE_SEC-07_local,6,6.0,2.0,38.3,37.1,36.3
LYDIT1-3-250strokes_E1_RE_SEC-07_local,7,7.0,2.0,38.1,37.0,37.5
LYDIT1-3-250strokes_E1_RE_SEC-07_local,8,8.0,2.0,38.0,37.2,37.0
LYDIT1-3-250strokes_E1_RE_SEC-07_local,9,9.0,2.0,37.9,46.0,44.8
LYDIT1-3-250strokes_E1_RE_SEC-07_local,10,10.0,2.0,39.5,47.8,50.3
