section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT5-5-250strokes_E1_RE_SEC-05_local,1,1.0,2.0,57.6,46.4,58.8
LYDIT5-5-250strokes_E1_RE_SEC-05_local,2,2.0,2.0,45.9,35.4,35.2
LYDIT5-5-250strokes_E1_RE_SEC-05_local,3,3.0,2.0,42.4,35.2,35.2
LYDIT5-5-250strokes_E1_RE_SEC-05_local,4,4.0,2.0,40.4,34.8,35.3
LYDIT5-5-250strokes_E1_RE_SEC-05_local,5,5.0,2.0,39.3,35.2,35.1
LYDIT5-5-250strokes_E1_RE_SEC-05_local,6,6.0,2.0,38.6,35.5,35.5
LYDIT5-5-250strokes_E1_RE_SEC-05_local,7,7.0,2.0,38.2,35.3,35.3
LYDIT5-5-250strokes_E1_RE_SEC-05_local,8,8.0,2.0,37.8,34.7,35.5
LYDIT5-5-250strokes_E1_RE_SEC-05_local,9,9.0,2.0,37.4,35.2,35.0
LYDIT5-5-250strokes_E1_RE_SEC-05_local,10,10.0,2.0,37.3,36.0,36.4
LYDIT5-5-250strokes_E1_RE_SEC-05_local,11,11.0,2.0,37.1,35.7,35.3
