section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-2-250strokes_E1_RE_SEC-05_local,1,1.0,2.0,48.2,42.8,49.1
FLT4-2-250strokes_E1_RE_SEC-05_local,2,2.0,2.0,42.4,37.3,37.1
FLT4-2-250strokes_E1_RE_SEC-05_local,3,3.0,2.0,40.8,37.2,37.5
FLT4-2-250strokes_E1_RE_SEC-05_local,4,4.0,2.0,39.8,37.1,37.1
FLT4-2-250strokes_E1_RE_SEC-05_local,5,5.0,2.0,39.3,37.5,37.8
FLT4-2-250strokes_E1_RE_SEC-05_local,6,6.0,2.0,39.0,37.8,37.5
FLT4-2-250strokes_E1_RE_SEC-05_local,7,7.0,2.0,38.9,37.8,38.0
FLT4-2-250strokes_E1_RE_SEC-05_local,8,8.0,2.0,38.7,37.4,37.6
FLT4-2-250strokes_E1_RE_SEC-05_local,9,9.0,2.0,38.5,38.1,38.4
FLT4-2-250strokes_E1_RE_SEC-05_local,10,10.0,2.0,38.6,40.1,39.6
FLT4-2-250strokes_E1_RE_SEC-05_local,11,11.0,2.0,38.8,44.4,45.2
