section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-4-1000strokes_E1_RE_SEC-01_local,1,1.0,2.0,65.3,50.5,68.6
FLT8-4-1000strokes_E1_RE_SEC-01_local,2,2.0,2.0,49.7,35.6,35.6
FLT8-4-1000strokes_E1_RE_SEC-01_local,3,3.0,2.0,44.8,35.6,35.6
FLT8-4-1000strokes_E1_RE_SEC-01_local,4,4.0,2.0,42.5,35.7,35.9
FLT8-4-1000strokes_E1_RE_SEC-01_local,5,5.0,2.0,41.1,35.5,35.5
FLT8-4-1000strokes_E1_RE_SEC-01_local,6,6.0,2.0,40.1,36.0,35.6
FLT8-4-1000strokes_E1_RE_SEC-01_local,7,7.0,2.0,39.6,35.5,35.5
FLT8-4-1000strokes_E1_RE_SEC-01_local,8,8.0,2.0,38.9,34.7,35.3
FLT8-4-1000strokes_E1_RE_SEC-01_local,9,9.0,2.0,38.5,35.7,35.6
FLT8-4-1000strokes_E1_RE_SEC-01_local,10,10.0,2.0,38.3,36.1,36.1
FLT8-4-1000strokes_E1_RE_SEC-01_local,11,11.0,2.0,38.1,35.3,35.7
