section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,1,1.0,2.0,68.6,55.8,62.3
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,2,2.0,2.0,54.8,44.3,44.6
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,3,3.0,2.0,51.4,45.0,45.0
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,4,4.0,2.0,49.7,44.7,45.0
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,5,5.0,2.0,48.6,45.1,45.0
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,6,6.0,2.0,48.1,45.2,45.1
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,7,7.0,2.0,47.6,44.9,45.1
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,8,8.0,2.0,47.3,44.8,44.8
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,9,9.0,2.0,47.0,44.6,44.6
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,10,10.0,2.0,46.7,44.5,44.6
LYDIT5-9-1000strokes_E1_RE_SEC-09_local,11,11.0,2.0,46.5,44.4,44.3
