section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-12-250strokes_E1_RE_SEC-01_local,1,1.0,2.0,89.8,74.5,79.6
LYDIT4-12-250strokes_E1_RE_SEC-01_local,2,2.0,2.0,73.5,59.3,59.7
LYDIT4-12-250strokes_E1_RE_SEC-01_local,3,3.0,2.0,68.6,60.1,59.5
LYDIT4-12-250strokes_E1_RE_SEC-01_local,4,4.0,2.0,66.5,60.2,59.7
LYDIT4-12-250strokes_E1_RE_SEC-01_local,5,5.0,2.0,65.1,59.3,59.5
LYDIT4-12-250strokes_E1_RE_SEC-01_local,6,6.0,2.0,64.1,59.6,59.5
LYDIT4-12-250strokes_E1_RE_SEC-01_local,7,7.0,2.0,63.5,59.2,59.2
LYDIT4-12-250strokes_E1_RE_SEC-01_local,8,8.0,2.0,62.8,66.1,62.6
LYDIT4-12-250strokes_E1_RE_SEC-01_local,9,9.0,2.0,64.1,91.5,99.3
LYDIT4-12-250strokes_E1_RE_SEC-01_local,10,10.0,2.0,68.1,105.0,105.5
LYDIT4-12-250strokes_E1_RE_SEC-01_local,11,11.0,2.0,71.0,83.4,93.5
