section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-11-before_E1_RE_SEC-09_local,1,1.0,2.0,65.2,55.8,70.1
FLT8-11-before_E1_RE_SEC-09_local,2,2.0,2.0,54.7,46.4,46.3
FLT8-11-before_E1_RE_SEC-09_local,3,3.0,2.0,52.4,46.3,45.4
FLT8-11-before_E1_RE_SEC-09_local,4,4.0,2.0,50.4,44.9,45.3
FLT8-11-before_E1_RE_SEC-09_local,5,5.0,2.0,49.3,44.2,44.2
FLT8-11-before_E1_RE_SEC-09_local,6,6.0,2.0,48.3,44.9,45.2
FLT8-11-before_E1_RE_SEC-09_local,7,7.0,2.0,48.0,45.8,45.3
FLT8-11-before_E1_RE_SEC-09_local,8,8.0,2.0,47.7,45.1,44.7
FLT8-11-before_E1_RE_SEC-09_local,9,9.0,2.0,47.4,44.6,45.1
FLT8-11-before_E1_RE_SEC-09_local,10,10.0,2.0,47.1,45.2,45.1
FLT8-11-before_E1_RE_SEC-09_local,11,11.0,2.0,47.0,45.2,45.1
